Choose,SelectKey,IgnoreKey,
AstronomicalLowTide,"""low tide""",,
Avalanche,"""avalan""",,
Blizzard,"""blizzard""",,
CoastalFlood,"""coastal"",""cstl*"",""breach""",,
Cold/WindChill,"""^cold""","""extreme cold/wind""",
DebrisFlow,"""mud"",""rock"",""landslide""","""flash flood""",
DenseFog,"""dense fog""",,
DenseSmoke,"""dense smoke""",,
Drought,"""drought""",,
DustDevil,"""dust devil""",,
DustStorm,"""dust storm""",,
ExcessiveHeat,"""excessive heat"",""extreme heat""",*drought*,
ExtremeCold/WindChill,"""extreme cold"",""hypo"",""unreasonabl"",""extended cold"",""record cold"",""extreme wind*""",,
FlashFlood,"""flash"",""flood"",""dam""",,
Flood,"""flood"",""fld"",""flash""","""coastal"",""cstl"",""lakeshore""",
Frost/Freeze,"""frost"",""freez*"",""fog""","""sleet"",""dense""",
FunnelCloud,"""funnel""",,
FreezingFog,"""freezing"",""freez*""","""sleet"",""dense""",
Hail,"""hail""",,
Heat,"""*heat"",""*warm""","""*excessive*"",""*extreme*"",""*drought*""",
HeavyRain,"""*heavy rain*"",""excessive rain*""","""*flash*"",""*flood*"",""*high surf*"",""lightning*""",
HeavySnow,"""snow"",""lake-effect""","""winter storm""",
HighSurf,"""high surf"",""^high*"",""heavy seas"",""heavy surf"",""high tide"",""rough """,,
HighWind,"""high wind"",""^wind$"",""gusty wind"",","""flood"",""hail"",""*blizzard*""",
Hurricane(Typhoon),"""hurricane""",,
IceStorm,"""ice storm"",""^ice*"",""^glaze""","""black$"",""^snow"",""sleet"",""flash flood""",
Lake-EffectSnow,"""lake-effect""",,
LakeshoreFlood,"""lakeshore""",,
Lightning,"""lightning"",""lighting"",""ligntnin*""","""tstm"",""thunderstorm""",
MarineHail,"""marine hail""",,
MarineHighWind,"""marine high wind""",,
MarineStrongWind,"""marine strong wind"",""marine mishap""",,
MarineThunderstormWind,"""marine thunder*"",""marine tst*""",,
RipCurrent,"""rip """,,
Seiche,"""seiche""",,
Sleet,"""sleet"",""black ice""",,
StormSurge/Tide,"""storm surge""",,
StrongWind,"""strong wind*"",""typhoon*""","""marine*""",
ThunderstormWind,"""tstm"",""micro"",""downburst"",""*rstorm winds"",""thunder"",","""marine*"",""hail"",""flood""",
Tornado,"""^tor*"",""*tornado*""",,
TropicalDepression,"""tropical depression""",,
TropicalStorm,"""tropical storm""",,
Tsunami,"""tsunami""",,
VolcanicAsh,"""volcanic""",,
Waterspout,"""waterspout""","""*tornado*""",
Wildfire,"""wild"",""forest"",""grass""",,
WinterStorm,"""winter storm""","""blizzard"",""heavy snow*""",
WinterWeather,"""^winter*""",,
